1 [1, 67, 0, 0, 0, 0, 0, 0]
20 [1, 106700, 123700, 2, 28, 1, -106672, 0]
12 [1, 106700, 123700, 2, 28, 1, 2, 0]
13 [1, 106700, 123700, 2, 28, 1, 56, 0]
14 [1, 106700, 123700, 2, 28, 1, -106644, 0]
15 [1, 106700, 123700, 2, 28, 1, -106644, 0]
17 [1, 106700, 123700, 2, 29, 1, -106644, 0]
18 [1, 106700, 123700, 2, 29, 1, 29, 0]
19 [1, 106700, 123700, 2, 29, 1, -106671, 0]
20 [1, 106700, 123700, 2, 29, 1, -106671, 0]
12 [1, 106700, 123700, 2, 29, 1, 2, 0]
13 [1, 106700, 123700, 2, 29, 1, 58, 0]
14 [1, 106700, 123700, 2, 29, 1, -106642, 0]
15 [1, 106700, 123700, 2, 29, 1, -106642, 0]
17 [1, 106700, 123700, 2, 30, 1, -106642, 0]
18 [1, 106700, 123700, 2, 30, 1, 30, 0]
19 [1, 106700, 123700, 2, 30, 1, -106670, 0]
20 [1, 106700, 123700, 2, 30, 1, -106670, 0]
12 [1, 106700, 123700, 2, 30, 1, 2, 0]
13 [1, 106700, 123700, 2, 30, 1, 60, 0]
14 [1, 106700, 123700, 2, 30, 1, -106640, 0]
15 [1, 106700, 123700, 2, 30, 1, -106640, 0]
17 [1, 106700, 123700, 2, 31, 1, -106640, 0]
18 [1, 106700, 123700, 2, 31, 1, 31, 0]
19 [1, 106700, 123700, 2, 31, 1, -106669, 0]
20 [1, 106700, 123700, 2, 31, 1, -106669, 0]
12 [1, 106700, 123700, 2, 31, 1, 2, 0]
13 [1, 106700, 123700, 2, 31, 1, 62, 0]
14 [1, 106700, 123700, 2, 31, 1, -106638, 0]
15 [1, 106700, 123700, 2, 31, 1, -106638, 0]
17 [1, 106700, 123700, 2, 32, 1, -106638, 0]
18 [1, 106700, 123700, 2, 32, 1, 32, 0]
19 [1, 106700, 123700, 2, 32, 1, -106668, 0]
20 [1, 106700, 123700, 2, 32, 1, -106668, 0]
12 [1, 106700, 123700, 2, 32, 1, 2, 0]
13 [1, 106700, 123700, 2, 32, 1, 64, 0]
14 [1, 106700, 123700, 2, 32, 1, -106636, 0]
15 [1, 106700, 123700, 2, 32, 1, -106636, 0]
17 [1, 106700, 123700, 2, 33, 1, -106636, 0]
18 [1, 106700, 123700, 2, 33, 1, 33, 0]
19 [1, 106700, 123700, 2, 33, 1, -106667, 0]
20 [1, 106700, 123700, 2, 33, 1, -106667, 0]
12 [1, 106700, 123700, 2, 33, 1, 2, 0]
13 [1, 106700, 123700, 2, 33, 1, 66, 0]
14 [1, 106700, 123700, 2, 33, 1, -106634, 0]
15 [1, 106700, 123700, 2, 33, 1, -106634, 0]
17 [1, 106700, 123700, 2, 34, 1, -106634, 0]
18 [1, 106700, 123700, 2, 34, 1, 34, 0]
19 [1, 106700, 123700, 2, 34, 1, -106666, 0]
20 [1, 106700, 123700, 2, 34, 1, -106666, 0]
12 [1, 106700, 123700, 2, 34, 1, 2, 0]
13 [1, 106700, 123700, 2, 34, 1, 68, 0]
14 [1, 106700, 123700, 2, 34, 1, -106632, 0]
15 [1, 106700, 123700, 2, 34, 1, -106632, 0]
17 [1, 106700, 123700, 2, 35, 1, -106632, 0]
18 [1, 106700, 123700, 2, 35, 1, 35, 0]
19 [1, 106700, 123700, 2, 35, 1, -106665, 0]
20 [1, 106700, 123700, 2, 35, 1, -106665, 0]
12 [1, 106700, 123700, 2, 35, 1, 2, 0]
13 [1, 106700, 123700, 2, 35, 1, 70, 0]
14 [1, 106700, 123700, 2, 35, 1, -106630, 0]
15 [1, 106700, 123700, 2, 35, 1, -106630, 0]
17 [1, 106700, 123700, 2, 36, 1, -106630, 0]
18 [1, 106700, 123700, 2, 36, 1, 36, 0]
19 [1, 106700, 123700, 2, 36, 1, -106664, 0]
20 [1, 106700, 123700, 2, 36, 1, -106664, 0]
12 [1, 106700, 123700, 2, 36, 1, 2, 0]
13 [1, 106700, 123700, 2, 36, 1, 72, 0]
14 [1, 106700, 123700, 2, 36, 1, -106628, 0]
15 [1, 106700, 123700, 2, 36, 1, -106628, 0]
17 [1, 106700, 123700, 2, 37, 1, -106628, 0]
18 [1, 106700, 123700, 2, 37, 1, 37, 0]
19 [1, 106700, 123700, 2, 37, 1, -106663, 0]
20 [1, 106700, 123700, 2, 37, 1, -106663, 0]
12 [1, 106700, 123700, 2, 37, 1, 2, 0]
13 [1, 106700, 123700, 2, 37, 1, 74, 0]
14 [1, 106700, 123700, 2, 37, 1, -106626, 0]
15 [1, 106700, 123700, 2, 37, 1, -106626, 0]
17 [1, 106700, 123700, 2, 38, 1, -106626, 0]
18 [1, 106700, 123700, 2, 38, 1, 38, 0]
19 [1, 106700, 123700, 2, 38, 1, -106662, 0]
20 [1, 106700, 123700, 2, 38, 1, -106662, 0]
12 [1, 106700, 123700, 2, 38, 1, 2, 0]
13 [1, 106700, 123700, 2, 38, 1, 76, 0]
14 [1, 106700, 123700, 2, 38, 1, -106624, 0]
15 [1, 106700, 123700, 2, 38, 1, -106624, 0]
17 [1, 106700, 123700, 2, 39, 1, -106624, 0]
18 [1, 106700, 123700, 2, 39, 1, 39, 0]
19 [1, 106700, 123700, 2, 39, 1, -106661, 0]
20 [1, 106700, 123700, 2, 39, 1, -106661, 0]
12 [1, 106700, 123700, 2, 39, 1, 2, 0]
13 [1, 106700, 123700, 2, 39, 1, 78, 0]
14 [1, 106700, 123700, 2, 39, 1, -106622, 0]
15 [1, 106700, 123700, 2, 39, 1, -106622, 0]
17 [1, 106700, 123700, 2, 40, 1, -106622, 0]
18 [1, 106700, 123700, 2, 40, 1, 40, 0]
19 [1, 106700, 123700, 2, 40, 1, -106660, 0]
20 [1, 106700, 123700, 2, 40, 1, -106660, 0]
12 [1, 106700, 123700, 2, 40, 1, 2, 0]
13 [1, 106700, 123700, 2, 40, 1, 80, 0]
14 [1, 106700, 123700, 2, 40, 1, -106620, 0]
15 [1, 106700, 123700, 2, 40, 1, -106620, 0]
17 [1, 106700, 123700, 2, 41, 1, -106620, 0]
18 [1, 106700, 123700, 2, 41, 1, 41, 0]
19 [1, 106700, 123700, 2, 41, 1, -106659, 0]
20 [1, 106700, 123700, 2, 41, 1, -106659, 0]
12 [1, 106700, 123700, 2, 41, 1, 2, 0]
13 [1, 106700, 123700, 2, 41, 1, 82, 0]
14 [1, 106700, 123700, 2, 41, 1, -106618, 0]
15 [1, 106700, 123700, 2, 41, 1, -106618, 0]
17 [1, 106700, 123700, 2, 42, 1, -106618, 0]
18 [1, 106700, 123700, 2, 42, 1, 42, 0]
19 [1, 106700, 123700, 2, 42, 1, -106658, 0]
20 [1, 106700, 123700, 2, 42, 1, -106658, 0]
12 [1, 106700, 123700, 2, 42, 1, 2, 0]
13 [1, 106700, 123700, 2, 42, 1, 84, 0]
14 [1, 106700, 123700, 2, 42, 1, -106616, 0]
15 [1, 106700, 123700, 2, 42, 1, -106616, 0]
17 [1, 106700, 123700, 2, 43, 1, -106616, 0]
18 [1, 106700, 123700, 2, 43, 1, 43, 0]
19 [1, 106700, 123700, 2, 43, 1, -106657, 0]
20 [1, 106700, 123700, 2, 43, 1, -106657, 0]
12 [1, 106700, 123700, 2, 43, 1, 2, 0]
13 [1, 106700, 123700, 2, 43, 1, 86, 0]
14 [1, 106700, 123700, 2, 43, 1, -106614, 0]
15 [1, 106700, 123700, 2, 43, 1, -106614, 0]
17 [1, 106700, 123700, 2, 44, 1, -106614, 0]
18 [1, 106700, 123700, 2, 44, 1, 44, 0]
19 [1, 106700, 123700, 2, 44, 1, -106656, 0]
20 [1, 106700, 123700, 2, 44, 1, -106656, 0]
12 [1, 106700, 123700, 2, 44, 1, 2, 0]
13 [1, 106700, 123700, 2, 44, 1, 88, 0]
14 [1, 106700, 123700, 2, 44, 1, -106612, 0]
15 [1, 106700, 123700, 2, 44, 1, -106612, 0]
17 [1, 106700, 123700, 2, 45, 1, -106612, 0]
18 [1, 106700, 123700, 2, 45, 1, 45, 0]
19 [1, 106700, 123700, 2, 45, 1, -106655, 0]
20 [1, 106700, 123700, 2, 45, 1, -106655, 0]
12 [1, 106700, 123700, 2, 45, 1, 2, 0]
13 [1, 106700, 123700, 2, 45, 1, 90, 0]
14 [1, 106700, 123700, 2, 45, 1, -106610, 0]
15 [1, 106700, 123700, 2, 45, 1, -106610, 0]
17 [1, 106700, 123700, 2, 46, 1, -106610, 0]
18 [1, 106700, 123700, 2, 46, 1, 46, 0]
19 [1, 106700, 123700, 2, 46, 1, -106654, 0]
20 [1, 106700, 123700, 2, 46, 1, -106654, 0]
12 [1, 106700, 123700, 2, 46, 1, 2, 0]
13 [1, 106700, 123700, 2, 46, 1, 92, 0]
14 [1, 106700, 123700, 2, 46, 1, -106608, 0]
15 [1, 106700, 123700, 2, 46, 1, -106608, 0]
17 [1, 106700, 123700, 2, 47, 1, -106608, 0]
18 [1, 106700, 123700, 2, 47, 1, 47, 0]
19 [1, 106700, 123700, 2, 47, 1, -106653, 0]
20 [1, 106700, 123700, 2, 47, 1, -106653, 0]
12 [1, 106700, 123700, 2, 47, 1, 2, 0]
13 [1, 106700, 123700, 2, 47, 1, 94, 0]
14 [1, 106700, 123700, 2, 47, 1, -106606, 0]
15 [1, 106700, 123700, 2, 47, 1, -106606, 0]
17 [1, 106700, 123700, 2, 48, 1, -106606, 0]
18 [1, 106700, 123700, 2, 48, 1, 48, 0]
19 [1, 106700, 123700, 2, 48, 1, -106652, 0]
20 [1, 106700, 123700, 2, 48, 1, -106652, 0]
12 [1, 106700, 123700, 2, 48, 1, 2, 0]
13 [1, 106700, 123700, 2, 48, 1, 96, 0]
14 [1, 106700, 123700, 2, 48, 1, -106604, 0]
15 [1, 106700, 123700, 2, 48, 1, -106604, 0]
17 [1, 106700, 123700, 2, 49, 1, -106604, 0]
18 [1, 106700, 123700, 2, 49, 1, 49, 0]
19 [1, 106700, 123700, 2, 49, 1, -106651, 0]
20 [1, 106700, 123700, 2, 49, 1, -106651, 0]
12 [1, 106700, 123700, 2, 49, 1, 2, 0]
13 [1, 106700, 123700, 2, 49, 1, 98, 0]
14 [1, 106700, 123700, 2, 49, 1, -106602, 0]
15 [1, 106700, 123700, 2, 49, 1, -106602, 0]
17 [1, 106700, 123700, 2, 50, 1, -106602, 0]
18 [1, 106700, 123700, 2, 50, 1, 50, 0]
19 [1, 106700, 123700, 2, 50, 1, -106650, 0]
20 [1, 106700, 123700, 2, 50, 1, -106650, 0]
12 [1, 106700, 123700, 2, 50, 1, 2, 0]
13 [1, 106700, 123700, 2, 50, 1, 100, 0]
14 [1, 106700, 123700, 2, 50, 1, -106600, 0]
15 [1, 106700, 123700, 2, 50, 1, -106600, 0]
17 [1, 106700, 123700, 2, 51, 1, -106600, 0]
18 [1, 106700, 123700, 2, 51, 1, 51, 0]
19 [1, 106700, 123700, 2, 51, 1, -106649, 0]
20 [1, 106700, 123700, 2, 51, 1, -106649, 0]
12 [1, 106700, 123700, 2, 51, 1, 2, 0]
13 [1, 106700, 123700, 2, 51, 1, 102, 0]
14 [1, 106700, 123700, 2, 51, 1, -106598, 0]
15 [1, 106700, 123700, 2, 51, 1, -106598, 0]
17 [1, 106700, 123700, 2, 52, 1, -106598, 0]
18 [1, 106700, 123700, 2, 52, 1, 52, 0]
19 [1, 106700, 123700, 2, 52, 1, -106648, 0]
20 [1, 106700, 123700, 2, 52, 1, -106648, 0]
12 [1, 106700, 123700, 2, 52, 1, 2, 0]
13 [1, 106700, 123700, 2, 52, 1, 104, 0]
14 [1, 106700, 123700, 2, 52, 1, -106596, 0]
15 [1, 106700, 123700, 2, 52, 1, -106596, 0]
17 [1, 106700, 123700, 2, 53, 1, -106596, 0]
18 [1, 106700, 123700, 2, 53, 1, 53, 0]
19 [1, 106700, 123700, 2, 53, 1, -106647, 0]
20 [1, 106700, 123700, 2, 53, 1, -106647, 0]
12 [1, 106700, 123700, 2, 53, 1, 2, 0]
13 [1, 106700, 123700, 2, 53, 1, 106, 0]
14 [1, 106700, 123700, 2, 53, 1, -106594, 0]
15 [1, 106700, 123700, 2, 53, 1, -106594, 0]
17 [1, 106700, 123700, 2, 54, 1, -106594, 0]
18 [1, 106700, 123700, 2, 54, 1, 54, 0]
19 [1, 106700, 123700, 2, 54, 1, -106646, 0]
20 [1, 106700, 123700, 2, 54, 1, -106646, 0]
12 [1, 106700, 123700, 2, 54, 1, 2, 0]
13 [1, 106700, 123700, 2, 54, 1, 108, 0]
14 [1, 106700, 123700, 2, 54, 1, -106592, 0]
15 [1, 106700, 123700, 2, 54, 1, -106592, 0]
17 [1, 106700, 123700, 2, 55, 1, -106592, 0]
18 [1, 106700, 123700, 2, 55, 1, 55, 0]
19 [1, 106700, 123700, 2, 55, 1, -106645, 0]
20 [1, 106700, 123700, 2, 55, 1, -106645, 0]
12 [1, 106700, 123700, 2, 55, 1, 2, 0]
13 [1, 106700, 123700, 2, 55, 1, 110, 0]
14 [1, 106700, 123700, 2, 55, 1, -106590, 0]
15 [1, 106700, 123700, 2, 55, 1, -106590, 0]
17 [1, 106700, 123700, 2, 56, 1, -106590, 0]
18 [1, 106700, 123700, 2, 56, 1, 56, 0]
19 [1, 106700, 123700, 2, 56, 1, -106644, 0]
20 [1, 106700, 123700, 2, 56, 1, -106644, 0]
12 [1, 106700, 123700, 2, 56, 1, 2, 0]
13 [1, 106700, 123700, 2, 56, 1, 112, 0]
14 [1, 106700, 123700, 2, 56, 1, -106588, 0]
15 [1, 106700, 123700, 2, 56, 1, -106588, 0]
17 [1, 106700, 123700, 2, 57, 1, -106588, 0]
18 [1, 106700, 123700, 2, 57, 1, 57, 0]
19 [1, 106700, 123700, 2, 57, 1, -106643, 0]
20 [1, 106700, 123700, 2, 57, 1, -106643, 0]
12 [1, 106700, 123700, 2, 57, 1, 2, 0]
13 [1, 106700, 123700, 2, 57, 1, 114, 0]
14 [1, 106700, 123700, 2, 57, 1, -106586, 0]
15 [1, 106700, 123700, 2, 57, 1, -106586, 0]
17 [1, 106700, 123700, 2, 58, 1, -106586, 0]
18 [1, 106700, 123700, 2, 58, 1, 58, 0]
19 [1, 106700, 123700, 2, 58, 1, -106642, 0]
20 [1, 106700, 123700, 2, 58, 1, -106642, 0]
12 [1, 106700, 123700, 2, 58, 1, 2, 0]
13 [1, 106700, 123700, 2, 58, 1, 116, 0]
14 [1, 106700, 123700, 2, 58, 1, -106584, 0]
15 [1, 106700, 123700, 2, 58, 1, -106584, 0]
17 [1, 106700, 123700, 2, 59, 1, -106584, 0]
18 [1, 106700, 123700, 2, 59, 1, 59, 0]
19 [1, 106700, 123700, 2, 59, 1, -106641, 0]
20 [1, 106700, 123700, 2, 59, 1, -106641, 0]
12 [1, 106700, 123700, 2, 59, 1, 2, 0]
13 [1, 106700, 123700, 2, 59, 1, 118, 0]
14 [1, 106700, 123700, 2, 59, 1, -106582, 0]
15 [1, 106700, 123700, 2, 59, 1, -106582, 0]
17 [1, 106700, 123700, 2, 60, 1, -106582, 0]
18 [1, 106700, 123700, 2, 60, 1, 60, 0]
